Team,Year,Week,Day,Date,,,OT,Record,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
Was,2009,5,Sun,10/11/12,boxscore,L,,2,2/3/12,@,Carolina Panthers,17,20,15,198,124,74,1,16,248,162,86,2,-4.8,12.27,-10.5
Was,2009,6,Sun,10/18/12,boxscore,L,,2,2/4/12,,Kansas City Chiefs,6,14,7,265,147,118,2,16,268,158,110,,-16.92,11.81,-6.92
Was,2009,7,Mon,10/26/12,boxscore,L,,2,2/5/12,,Philadelphia Eagles,17,27,21,308,246,62,4,11,262,140,122,,-9.78,6.82,-6.32
Was,2009,8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Was,2009,9,Sun,11/8/12,boxscore,L,,2,2/6/12,@,Atlanta Falcons,17,31,17,312,176,136,1,18,306,125,181,1,-5.65,-6.02,-3.39
Was,2009,10,Sun,11/15/12,boxscore,W,,3,3/6/12,,Denver Broncos,27,17,22,388,214,174,,14,305,185,120,2,11.2,2.97,-1.76
Was,2009,11,Sun,11/22/12,boxscore,L,,3,3/7/12,@,Dallas Cowboys,6,7,14,324,246,78,1,17,305,152,153,2,-2.37,6.34,-5.91
Was,2009,12,Sun,11/29/12,boxscore,L,,3,3/8/12,@,Philadelphia Eagles,24,27,15,303,221,82,2,17,381,258,123,1,-6.55,-2.99,4.23
Was,2009,13,Sun,12/6/12,boxscore,L,OT,3,3/9/12,,New Orleans Saints,30,33,28,455,367,88,4,25,463,408,55,1,17.81,-18.56,-0.33
Was,2009,14,Sun,12/13/12,boxscore,W,,4,4/9/12,@,Oakland Raiders,34,13,21,295,195,100,1,15,227,162,65,1,9.45,16.01,-0.05
Was,2009,15,Mon,12/21/12,boxscore,L,,4,4/10/12,,New York Giants,12,45,15,302,213,89,3,23,387,273,114,,-11.31,-25.11,-0.59
Was,2009,16,Sun,12/27/12,boxscore,L,,4,4/11/12,,Dallas Cowboys,0,17,15,208,165,43,1,22,393,285,108,1,-14.55,-4.57,-0.59
Was,2009,17,Sun,1/3/12,boxscore,L,,4,4/12/12,@,San Diego Chargers,20,23,18,341,275,66,,19,364,314,50,1,4.86,-7.94,-4.48
Was,2008,1,Thu,9/4/12,boxscore,L,,0,0-1,@,New York Giants,7,16,11,209,125,84,,21,354,200,154,1,-8.61,-5.93,7.41
Was,2008,2,Sun,9/14/12,boxscore,W,,1,1/1/12,,New Orleans Saints,29,24,25,455,306,149,1,16,250,195,55,3,18.34,4.77,-15.76
Was,2008,3,Sun,9/21/12,boxscore,W,,2,2/1/12,,Arizona Cardinals,24,17,21,323,187,136,,19,313,197,116,2,9.11,-2.07,2.95
Was,2008,4,Sun,9/28/12,boxscore,W,,3,3/1/12,@,Dallas Cowboys,26,24,22,381,220,161,,21,344,300,44,1,7.16,-9.13,4.5
Was,2008,5,Sun,10/5/12,boxscore,W,,4,4/1/12,@,Philadelphia Eagles,23,17,22,388,185,203,,14,254,196,58,,12.02,-3.31,-3.59
Was,2008,6,Sun,10/12/12,boxscore,L,,4,4/2/12,,St. Louis Rams,17,19,22,368,187,181,3,8,200,124,76,1,-9.56,18.79,-8.97
Was,2008,7,Sun,10/19/12,boxscore,W,,5,5/2/12,,Cleveland Browns,14,11,17,351,158,193,1,16,236,134,102,,0.2,9.31,-5.94
Was,2008,8,Sun,10/26/12,boxscore,W,,6,6/2/12,@,Detroit Lions,25,17,22,439,304,135,1,13,274,217,57,,9.42,1.19,-0.83
Was,2008,9,Mon,11/3/12,boxscore,L,,6,6/3/12,,Pittsburgh Steelers,6,23,13,221,161,60,2,15,229,165,64,1,-25.3,4.06,4.1
Was,2008,10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Was,2008,11,Sun,11/16/12,boxscore,L,,6,6/4/12,,Dallas Cowboys,10,14,14,228,136,92,1,17,315,198,117,2,-5.83,-3.02,-0.34
Was,2008,12,Sun,11/23/12,boxscore,W,,7,7/4/12,@,Seattle Seahawks,20,17,24,386,199,187,1,13,228,89,139,2,7.29,4.43,-7.95
Was,2008,13,Sun,11/30/12,boxscore,L,,7,7/5/12,,New York Giants,7,23,17,320,228,92,2,23,404,296,108,1,-4.7,-4.53,-3.45
Was,2008,14,Sun,12/7/12,boxscore,L,,7,7/6/12,@,Baltimore Ravens,10,24,14,254,192,62,3,12,281,134,147,2,-18.54,9.27,-0.45
Was,2008,15,Sun,12/14/12,boxscore,L,,7,7/7/12,@,Cincinnati Bengals,13,20,15,280,167,113,2,17,310,204,106,,-9.67,-0.13,2.6
Was,2008,16,Sun,12/21/12,boxscore,W,,8,8/7/12,,Philadelphia Eagles,10,3,17,249,127,122,,15,275,213,62,1,-5.56,11.8,-3.49
Was,2008,17,Sun,12/28/12,boxscore,L,,8,8/8/12,@,San Francisco 49ers,24,27,19,268,143,125,1,19,359,238,121,1,3.94,-7.73,2.42
Was,2007,1,Sun,9/9/12,boxscore,W,OT,1,Jan-00,,Miami Dolphins,16,13,19,400,209,191,2,17,273,207,66,1,4.55,5.81,-0.85
Was,2007,2,Mon,9/17/12,boxscore,W,,2,Feb-00,@,Philadelphia Eagles,20,12,19,337,207,130,1,18,340,226,114,,3.26,3.53,-1.43
Was,2007,3,Sun,9/23/12,boxscore,L,,2,2/1/12,,New York Giants,17,24,14,260,178,82,1,19,315,219,96,3,-11.73,0.36,5.22
Was,2007,4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Was,2007,5,Sun,10/7/12,boxscore,W,,3,3/1/12,,Detroit Lions,34,3,23,366,248,118,1,11,144,76,68,2,11.2,22.81,-3.1
Was,2007,6,Sun,10/14/12,boxscore,L,,3,3/2/12,@,Green Bay Packers,14,17,18,304,210,94,3,13,225,169,56,2,-24.04,11.76,7.25
Was,2007,7,Sun,10/21/12,boxscore,W,,4,4/2/12,,Arizona Cardinals,21,19,10,160,87,73,1,19,364,280,84,3,-9.94,7.84,4.35
Was,2007,8,Sun,10/28/12,boxscore,L,,4,4/3/12,@,New England Patriots,7,52,13,224,177,47,4,34,486,334,152,1,-18.23,-27.45,1.89
Was,2007,9,Sun,11/4/12,boxscore,W,OT,5,5/3/12,@,New York Jets,23,20,23,431,135,296,1,23,338,214,124,1,10.74,-5.46,1.71
Was,2007,10,Sun,11/11/12,boxscore,L,,5,5/4/12,,Philadelphia Eagles,25,33,25,361,203,158,2,22,379,240,139,2,2.95,-14.8,3.37
Was,2007,11,Sun,11/18/12,boxscore,L,,5,5/5/12,@,Dallas Cowboys,23,28,28,423,361,62,2,19,362,287,75,1,7.86,-18.2,5.28
Was,2007,12,Sun,11/25/12,boxscore,L,,5,5/6/12,@,Tampa Bay Buccaneers,13,19,23,412,292,120,6,9,192,93,99,,-14.55,12.06,-3.05
Was,2007,13,Sun,12/2/12,boxscore,L,,5,5/7/12,,Buffalo Bills,16,17,22,281,202,79,2,15,357,257,100,1,-0.48,-0.48,-0.59
Was,2007,14,Thu,12/6/12,boxscore,W,,6,6/7/12,,Chicago Bears,24,16,15,345,314,31,1,22,356,296,60,2,2.75,9.55,-0.12
Was,2007,15,Sun,12/16/12,boxscore,W,,7,7/7/12,@,New York Giants,22,10,14,309,156,153,,20,307,168,139,1,-5.28,15.81,2.5
Was,2007,16,Sun,12/23/12,boxscore,W,,8,8/7/12,@,Minnesota Vikings,32,21,19,367,261,106,,23,299,212,87,3,3.95,7.99,0.55
Was,2007,17,Sun,12/30/12,boxscore,W,,9,9/7/12,,Dallas Cowboys,27,6,22,354,223,131,2,7,147,146,1,1,4.31,22.67,-6.31
